"age","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","rating","rcDate","rcDay","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","weather","wgBudam","wgHr","winOdds","ageCond","budam","prizeCond","rank","rcDist","rcName","track","sexCond"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"-","더세이버","THE SABER","0041708",0,0,0,0,0,0,0,0,"서승운","Seo Seung Un","080484","부산경남","미국",99,"박희준","Park Hui Joon",112049,0,44,20200223,"일요일",3,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"울즐리","Peter Wolsley","070156","-",55,"0()",5.6,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"-","코리아프린스","KOREA PRINCE","0041716",0,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","미국",99,"양정두","Yang Jeong Du",105133,0,39,20200223,"일요일",3,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"토마스","Thomas Gillespie","070194","-",52.5,"0()",9999.9,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"-","위닝포스트","WINNING POST","0041788",0,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","미국",99,"조영자","Jo Young Ja",105146,0,39,20200223,"일요일",3,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"구영준","Koo Young Jun","070176","-",52.5,"0()",9999.9,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"-","태양이뜬다","TAEYANGI TTEUNDA","0041803",0,0,0,0,0,0,0,0,"김동영","Kim Dong Young","080401","부산경남","미국",99,"김진영a","Kim Jin Young A",105040,0,39,20200223,"일요일",3,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"장세한","Jang Se Han","070127","-",52.5,"0()",9999.9,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"-","폭풍언덕","POKPUNG EONDEOK","0043594",0,0,0,0,0,0,0,0,"다실바","Francisco Da Silva","080568","부산경남","미국",99,"이성인","Lee Seong In",112003,0,38,20200223,"일요일",3,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"안우성","An Woo Sung","070180","-",52,"0()",9999.9,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"-","비케이선더","B.K. THUNDER","0038935",0,0,0,0,0,0,0,0,"김어수","Kim Eu Soo","080403","부산경남","한국",99,"함승원","Ham Seung Won",109142,0,39,20200223,"일요일",3,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"윤영훈","Youn Young Hun","070133","-",52.5,"0()",9999.9,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"-","래피드게임","RAPID GAME","0043609",0,0,0,0,0,0,0,0,"정동철","Jeong Dong Cheol","080482","부산경남","미국",99,"김혜진","Kim Hye Jin",118011,0,46,20200223,"일요일",3,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"임금만","Lim Keum Man","070128","-",55.5,"0()",1.4,,,,,,,,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"-","어록","EOROK","0034243",0,0,0,0,0,0,0,0,"박재이","Park Jae I","080546","부산경남","한국",99,"서정범","Seo Jeong Beom",112002,0,36,20200223,"일요일",4,0,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"임동창","Im Dong Chang","070138","-",52,"0()",9999.9,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"-","에코선","ECHO SUN","0041292",0,0,0,0,0,0,0,0,"정동철","Jeong Dong Cheol","080482","부산경남","한국",99,"류주영","Ryu Ju Yeong",112004,0,36,20200223,"일요일",4,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"임금만","Lim Keum Man","070128","-",52,"0()",9999.9,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"-","대망의길","DAEMANGUI GIL","0041204",0,0,0,0,0,0,0,0,"이성재","Lee Sung Jae","080431","부산경남","한국",99,"허필도","Heo Pil Do",106075,0,47,20200223,"일요일",4,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"김길중","Kim Gil Jung","070126","-",55.5,"0()",9999.9,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"-","비욘드","BEYOND","0039249",0,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",99,"김은태","Kim Eun Tae",117053,0,41,20200223,"일요일",4,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"민장기","Min Jang Gi","070136","-",53,"0()",1,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"-","성산파워","SEONGSAN POWER","0038998",0,0,0,0,0,0,0,0,"김도현","Kim Do Hyun","080381","부산경남","한국",99,"최영근","Choi Young Keun",104169,0,36,20200223,"일요일",4,0,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"양귀선","Yang Kui Sun","070125","-",52,"0()",9999.9,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"-","라피도맨","RAPIDO MAN","0038593",0,0,0,0,0,0,0,0,"다실바","Francisco Da Silva","080568","부산경남","한국",99,"우만식","Uh Man Sik",104087,0,47,20200223,"일요일",4,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","-",56,"0()",13.6,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"-","상승대한","SANGSEUNG DAEHAN","0037936",0,0,0,0,0,0,0,0,"채상현","Chae Sang Hyun","080532","부산경남","한국",99,"장석노","Jang Seok No",110055,0,45,20200223,"일요일",4,0,0,0,0,0,0,0,0,"거",0,0,0,0,0,0,0,"라이스","Bart Rice","070186","-",55,"0()",9999.9,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-","러브레터","LOVE LETTER","0037604",0,0,0,0,0,0,0,0,"송경윤","Song Kyeong Yun","080421","부산경남","한국",99,"조재섭","Cho Jae Sup",105118,0,37,20200223,"일요일",4,0,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"구영준","Koo Young Jun","070176","-",52,"0()",9999.9,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"-","라라라","RARARA","0037215",0,0,0,0,0,0,0,0,"정우주","Jeong Woo Ju","080588","부산경남","한국",99,"박병현","Park Byeong Hyeon",112290,0,42,20200223,"일요일",4,0,0,0,0,0,0,0,0,"암",0,0,0,0,0,0,0,"유병복","Yoo Byung Bok","070109","-",51,"0()",9999.9,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"-","언제나승리","EONJENA SEUNGNI","0037187",0,0,0,0,0,0,0,0,"최시대","Choi Si Dae","080423","부산경남","한국",99,"박원선","Park Won Sun",105093,0,36,20200223,"일요일",4,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"권승주","Kwon Sung Ju","070086","-",52,"0()",9999.9,,,,,,,,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"-","퍼스트신화","FIRST SHINHWA","0035788",0,0,0,0,0,0,0,0,"진겸","Jin Kyum","080551","부산경남","한국",99,"이남일","Lee Nam Il","065082",0,49,20200223,"일요일",4,0,0,0,0,0,0,0,0,"수",0,0,0,0,0,0,0,"강형곤","Kang Hyoung Gon","070134","-",57,"0()",9999.9,,,,,,,,
