"age","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds","ageCond","sexCond"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,3,6,"풍문으로","PUNGMUNEURO","0036977",77,0,0,0,0,0,0,0,"이준철","Lee Joon Chel","080353","서울","한국",8,"박치문","Park Chi Moon","020013",6.2,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",3,85,70.4,44.2,14.1,0,0,31.8,50.7,"암",8,8,6,0,0,8,8,"김대근","KIM DAI KEUN","070050","양호 (7%)","맑음",54,"481(+2)",36,"연령오픈",
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,9,"2½","통합시대","TONGHAP SIDAE","0037723",77,0,0,0,0,0,0,0,"박상우","Park Sang Woo","080457","서울","한국",9,"김경민","Kim Kyung Min","010542",7.5,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",3,85.4,70.7,43.8,14.5,0,0,31.5,50.4,"암",9,7,9,0,0,7,7,"최상식","Choi Sang Sik","070085","양호 (7%)","맑음",53.5,"453(-10)",46.9,"연령오픈",
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,4,"-","쿠카캣","KOOKA CAT","0038663",78,0,0,0,0,0,0,0,"다비드","David Breux","080584","서울","한국",1,"이시돌협회","Isidore Farm",103012,1.2,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",4,83.2,69.7,43.9,13.6,0,0,31.1,50.5,"암",1,3,1,0,0,2,2,"사이먼","Simon-Robert FOSTER","070245","양호 (7%)","맑음",54,"437(-2)",3.9,"연령오픈",
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,2,1,"디아볼라","DIAVOLA","0039097",78,0,0,0,0,0,0,0,"마누엘","MANUEL PORCU","080594","서울","한국",2,"조건진","Cho Geon Jin",110017,1.1,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",4,83.3,70,44.2,13.7,0,0,31.6,50.8,"암",3,5,3,0,0,5,5,"리카디","Luigi Riccardi","070244","양호 (7%)","맑음",54,"468(+12)",1.5,"연령오픈",
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,6,1,"정성홀리데이","JEONGSEONG HOLIDAY","0039524",78,0,0,0,0,0,0,0,"최범현","Choi Bum Hyun","080361","서울","한국",3,"임정균","IM JUNG KYUN",111227,1.8,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",4,83.5,69.9,44.1,13.7,0,0,31.2,50.7,"거",2,4,4,0,0,3,4,"심승태","Shim Seung Tae","070166","양호 (7%)","맑음",55,"463()",6.7,"연령오픈",
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,7,5,"베스트골드","BEST GOLD","0037819",78,0,0,0,0,0,0,0,"이준철","Lee Joon Chel","080353","서울","한국",4,"베스트샤인조합","Best Shine",111067,2.5,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",4,84.4,70.9,44.6,13.9,0,0,32,51.1,"암",5,7,6,0,0,7,6,"이희영","Lee Hee Young","070053","양호 (7%)","맑음",54,"433(-6)",23.9,"연령오픈",
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,9,6,"비바킹","VIVA KING","0038762",78,0,0,0,0,0,0,0,"조한별","Cho Han Byeol","080515","서울","한국",5,"박정배","Park Jung Bae",118001,6.4,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",4,85.4,71,44.4,14,0,0,31.6,51.1,"거",7,6,7,0,0,6,7,"손영표","Son Young Pyo","070150","양호 (7%)","맑음",55,"474(+6)",49.1,"연령오픈",
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,1,"½","캠핑매니아","CAMPING MANIA","0038492",78,0,0,0,0,0,0,0,"송재철","Song Jae Chul","080513","서울","한국",6,"오상철","Oh Sang Chll","065159",2.7,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",4,85.5,71,43.9,13.7,0,0,31.4,50.6,"암",6,2,2,0,0,4,3,"김순근","KIM SOON KEUN","070105","양호 (7%)","맑음",53,"452(+6)",15.2,"연령오픈",
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,5,"코","실버원더풀","SILVER WONDERFUL","0039323",78,0,0,0,0,0,0,0,"하정훈","Ha Jung Hun","080552","서울","한국",7,"최현기","Choi Hyeon Gi",110019,7.3,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",4,85.5,71.7,44.6,14.1,0,0,32,51.2,"암",8,8,8,0,0,8,8,"김동균","Kim Dong Kyun","070170","양호 (7%)","맑음",53,"441(-6)",73.1,"연령오픈",
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"별정C",0,0,0,13680000,5040000,3120000,1200000,960000,8,1,"원더풀어게인","WONDERFUL AGAIN","0040814",78,0,0,0,0,0,0,0,"신형철","Shin Hyoung Chul","080122","서울","한국",8,"최동근","Choi Dong Geun",116045,6.3,"R0~0","국6등급",0,20191019,"토요일",1300,"일반",4,85.6,70.6,43.7,13.7,0,0,30.9,50.4,"암",4,1,5,0,0,1,1,"서정하","Seo Jung Ha","070113","양호 (7%)","맑음",52,"476(+11)",44.7,"연령오픈",
