"age","ageCond","buG1fAccTime","buG1fOrd","buG2fAccTime","buG2fOrd","buG3fAccTime","buG3fOrd","buG4fAccTime","buG4fOrd","buG6fAccTime","buG6fOrd","buG8fAccTime","buG8fOrd","buS1fAccTime","buS1fOrd","buS1fTime","bu_10_8fTime","bu_1fGTime","bu_2fGTime","bu_3fGTime","bu_4_2fTime","bu_6_4fTime","bu_8_6fTime","budam","buga1","buga2","buga3","chaksun1","chaksun2","chaksun3","chaksun4","chaksun5","chulNo","diffUnit","hrName","hrNameEn","hrNo","ilsu","jeG1fTime","jeG3fTime","jeS1fTime","je_1cTime","je_2cTime","je_3cTime","je_4cTime","jkName","jkNameEn","jkNo","meet","name","ord","owName","owNameEn","owNo","plcOdds","prizeCond","rank","rating","rcDate","rcDay","rcDist","rcName","rcNo","rcTime","seG1fAccTime","seG3fAccTime","seS1fAccTime","se_1cAccTime","se_2cAccTime","se_3cAccTime","se_4cAccTime","sex","sexCond","sjG1fOrd","sjG3fOrd","sjS1fOrd","sj_1cOrd","sj_2cOrd","sj_3cOrd","sj_4cOrd","trName","trNameEn","trNo","track","weather","wgBudam","wgHr","winOdds"
4,"연령오픈",69.7,9,56.1,6,43.2,5,30.8,4,8.4,4,0,0,14,3,14,0,14.4,28,40.9,25.3,22.4,8.4,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,3,"½","슈퍼매직","SUPER MAGIC","0035289",8,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","한국",11,"김준현","Kim Joon Hyun",106289,3.7,"R1~35","국5등급",27,20180128,"일요일",1300,"일반",2,84.1,0,0,0,0,0,0,0,"암",,0,0,0,0,0,0,0,"하무선","Ha Mu Seon","070143","건조 (4%)","맑음",52,"430(+6)",24.5
5,"연령오픈",70.6,11,57.2,10,43.8,9,31.2,7,8.5,6,0,0,14.3,8,14.3,0,14.1,27.5,40.9,26,22.7,8.5,"핸디캡",0,0,0,22800000,8400000,5200000,2000000,1600000,1,3,"서해","SEOHAE","0036483",8,0,0,0,0,0,0,0,"김혜선","Kim Hye Sun","080456","부산경남","미국",12,"이유완","Lee Yu Wan",104109,8.8,"R1~35","국5등급",27,20180128,"일요일",1300,"일반",2,84.7,0,0,0,0,0,0,0,"거",,0,0,0,0,0,0,0,"임동창","Im Dong Chang","070138","건조 (4%)","맑음",52.5,"487()",53.5
3,"3세",60.9,1,48.6,2,36.6,3,24.8,4,0,0,0,0,13.7,4,13.7,0,13.3,25.6,37.6,23.8,24.8,0,"별정B",0,0,0,34200000,12600000,7800000,3000000,2400000,8,"-","뉴욕망치","NEW YORK MANGCHI","0039958",8,0,0,0,0,0,0,0,"조인권","Jo In Kwon","080438","부산경남","미국",1,"(주)나스카","Nasca",110034,1.1,"R1~50","혼4등급",46,20180128,"일요일",1200,"일반",3,74.2,0,0,0,0,0,0,0,"거",,0,0,0,0,0,0,0,"김영관","Kim Young Kwan","070123","건조 (4%)","맑음",55,"472(-3)",1.5
3,"3세",61.7,4,49.1,5,36.8,6,25,6,0,0,0,0,13.8,3,13.8,0,13.3,25.9,38.2,24.1,25,0,"별정B",0,0,0,34200000,12600000,7800000,3000000,2400000,7,5,"히든스타","HIDDEN STAR","0039876",8,0,0,0,0,0,0,0,"김철호","Kim Cheol Ho","080434","부산경남","미국",2,"홍경표","Hong Kyung Pyo",106092,1.4,"R1~50","혼4등급",43,20180128,"일요일",1200,"일반",3,75,0,0,0,0,0,0,0,"수",,0,0,0,0,0,0,0,"토마스","Thomas Gillespie","070194","건조 (4%)","맑음",55,"500(-8)",7.5
3,"3세",61.7,3,48.8,3,36.4,2,24.6,2,0,0,0,0,13.7,2,13.7,0,13.8,26.7,39.1,24.2,24.6,0,"별정B",0,0,0,34200000,12600000,7800000,3000000,2400000,5,"2½","티즈엠프리스","TIZ EMPRESS","0039863",8,0,0,0,0,0,0,0,"최은경","Choi Eun Gyeong","080566","부산경남","미국",3,"죠셉달라오","Joseph Dallao",114039,1.5,"R1~50","혼4등급",42,20180128,"일요일",1200,"일반",3,75.5,0,0,0,0,0,0,0,"암",,0,0,0,0,0,0,0,"라이스","Bart Rice","070186","건조 (4%)","맑음",51,"498(-5)",4.5
3,"3세",61.6,2,48.6,1,36.2,1,24.4,1,0,0,0,0,13.7,1,13.7,0,13.9,26.9,39.3,24.2,24.4,0,"별정B",0,0,0,34200000,12600000,7800000,3000000,2400000,3,"½","영광의팩터","YEONGGWANGUIFACTOR","0039811",8,0,0,0,0,0,0,0,"조성곤","JO SUNG GON","080410","부산경남","미국",4,"변창덕","Byun Chang Duck",110048,1.8,"R1~50","혼4등급",46,20180128,"일요일",1200,"일반",3,75.5,0,0,0,0,0,0,0,"거",,0,0,0,0,0,0,0,"임금만","Lim Keum Man","070128","건조 (4%)","맑음",55,"470(-5)",11.6
3,"3세",62.8,7,50.1,7,37.6,8,25.7,8,0,0,0,0,14.2,7,14.2,0,13.2,25.9,38.4,24.4,25.7,0,"별정B",0,0,0,34200000,12600000,7800000,3000000,2400000,4,"2½","골드박스","GOLD BOX","0039860",8,0,0,0,0,0,0,0,"김혜선","Kim Hye Sun","080456","부산경남","미국",5,"이권형","Lee Kweon Heoung",115010,6.9,"R1~50","혼4등급",42,20180128,"일요일",1200,"일반",3,76,0,0,0,0,0,0,0,"수",,0,0,0,0,0,0,0,"하무선","Ha Mu Seon","070143","건조 (4%)","맑음",54,"524(-1)",55.2
3,"3세",62.2,5,49.1,4,36.8,5,25,5,0,0,0,0,14.1,6,14.1,0,14.2,27.3,39.6,24.1,25,0,"별정B",0,0,0,34200000,12600000,7800000,3000000,2400000,2,2,"크롬매직","CHROME MAGIC","0040026",8,0,0,0,0,0,0,0,"유현명","You Hyun Myung","080376","부산경남","미국",6,"배은정","Bae Eun Jeong",214708,3.4,"R1~50","혼4등급",42,20180128,"일요일",1200,"일반",3,76.4,0,0,0,0,0,0,0,"수",,0,0,0,0,0,0,0,"토마스","Thomas Gillespie","070194","건조 (4%)","맑음",54,"465(+11)",35.1
3,"3세",62.6,6,49.3,6,36.9,4,24.9,3,0,0,0,0,13.9,5,13.9,0,14,27.3,39.7,24.4,24.9,0,"별정B",0,0,0,34200000,12600000,7800000,3000000,2400000,6,"1¾","럭키프라임","LUCKY PRIME","0039858",8,0,0,0,0,0,0,0,"다실바","Francisco Da Silva","080568","부산경남","미국",7,"김갑수","Kim Gab Soo",104146,2.6,"R1~50","혼4등급",42,20180128,"일요일",1200,"일반",3,76.6,0,0,0,0,0,0,0,"수",,0,0,0,0,0,0,0,"안우성","An Woo Sung","070180","건조 (4%)","맑음",54,"507(-8)",16.3
3,"3세",64.2,8,50.5,8,37.7,7,25.8,7,0,0,0,0,14.7,8,14.7,0,14.2,27.9,40.7,24.7,25.8,0,"별정B",0,0,0,34200000,12600000,7800000,3000000,2400000,1,10,"치프타임","CHIEF TIME","0040023",8,0,0,0,0,0,0,0,"진겸","Jin Kyum","080551","부산경남","미국",8,"박웅진","Park Ung Jin",103007,10.5,"R1~50","혼4등급",42,20180128,"일요일",1200,"일반",3,78.4,0,0,0,0,0,0,0,"수",,0,0,0,0,0,0,0,"백광열","Baik Kwang Yeol","070130","건조 (4%)","맑음",54,"471(-13)",77.6
