Real Winner Name,Real Winner Time,Predict Winner Name,Predict Winner Time,Win Odds,Is Predict Success,RC No,RC Date,RC Dist,Earn Money,Left Money
스트렝스,73.7,마이티쎈,0.0,1.2,false,4,20230114,0,0,10070000
불곰마드레,72.8,블랙버미,72.8,5.4,false,5,20230114,0,0,9970000
메니에이스,79.9,성실공주핑크,79.5,19.2,false,6,20230114,0,0,9870000
원더풀위크,85.0,원더풀위크,0.0,2.7,true,7,20230114,0,270000,10040000
그랜드스타,110.1,그랜드파워,110.0,5.5,false,8,20230114,0,0,9940000
햇무리,115.5,자이언트펀치,114.0,8.8,false,9,20230114,0,0,9840000
자이언트킬링,72.4,그레이트선더,72.1,4.4,false,10,20230114,0,0,9740000
탑퀄리티,85.2,최강블레이드,0.0,12.9,false,11,20230114,0,0,9640000
스트라이드업,85.5,와일드삭스,85.5,35.5,false,12,20230114,0,0,9540000
티즈인디,80.2,세명레이디,78.6,4.8,false,1,20230115,0,0,9440000
검이불루,74.1,네이비크롬,0.0,1.6,false,2,20230115,0,0,9340000
탄산,75.5,시킹더키튼,72.5,7.3,false,3,20230115,0,0,9240000
디자이어투윈,87.4,고스트참,0.0,4.5,false,4,20230115,0,0,9140000
영영삭스,86.1,블루밍스타,83.6,6.9,false,5,20230115,0,0,9040000
한강돌풍,99.3,티즈블랙,97.6,10.7,false,6,20230115,0,0,8940000
이다나은,79.2,제이모션,79.4,3.4,false,7,20230115,0,0,8840000
기쁨환호,73.4,금성스피드,72.8,2.6,false,8,20230115,0,0,8740000
문학태핏,9999,새내타운,108.7,11.3,false,9,20230115,0,0,8640000
최고레이스,83.1,별나라신사,0.0,9.4,false,11,20230115,0,0,8540000
그린실드,76.7,찰나질주,74.9,4.9,false,1,20230128,0,0,8440000
짜릿한자유,82.2,파이팅케이,0.0,14.6,false,2,20230128,0,0,8340000
록임팩트,83.0,록임팩트,81.4,2.2,true,3,20230128,0,220000.00000000003,8460000
울트라갤럭시,113.7,후이넘,0.0,2.6,false,4,20230128,0,0,8360000
마이티굿,101.9,마이티굿,98.7,4.4,true,5,20230128,0,440000.00000000006,8700000
큐피드코리아,89.1,에코존,87.0,13.1,false,6,20230128,0,0,8600000
원더풀인디,81.8,세인트루카,81.2,2.6,false,7,20230128,0,0,8500000
파워풀화성,75.3,런던퀸,72.7,8.6,false,8,20230128,0,0,8400000
마이티룩,76.0,티시패밀리,72.5,1.7,false,9,20230128,0,0,8300000
새내퀸,73.8,헤라블레이드,72.8,2.5,false,10,20230128,0,0,8200000
마하스타,87.8,마하스타,85.6,4.5,true,11,20230128,0,450000,8550000
블랙머스크,130.4,릴패트론,128.0,37.0,false,12,20230128,0,0,8450000
늘가을,84.0,원더풀리걸,0.0,3.0,false,1,20230129,0,0,8350000
금전사,76.9,체크포인트,0.0,7.5,false,2,20230129,0,0,8250000
비트러너,76.2,그린스펙터,0.0,3.6,false,3,20230129,0,0,8150000
그린백,82.6,원더풀슬루,0.0,12.5,false,4,20230129,0,0,8050000
킹심바,113.6,은혜레코드,110.9,13.6,false,5,20230129,0,0,7950000
너트플레이,103.9,성실머니,99.9,2.0,false,6,20230129,0,0,7850000
스틸플레이,75.7,스틸플레이,73.7,5.0,true,7,20230129,0,500000,8250000
와우와우,73.7,와우와우,71.6,47.1,true,8,20230129,0,4710000,12860000
남산호랑이,120.0,나노메타,116.6,3.4,false,9,20230129,0,0,12760000
정문볼트,117.7,러블리케이,0.0,11.9,false,10,20230129,0,0,12660000
신의아들,74.6,매직주니어,0.0,6.5,false,11,20230129,0,0,12560000
